held_out_CD,AUROC,AUROC_sd,Pearson,Pearson_sd,n_ext,n_strong
alpha,0.6364,0.09282983236965246,0.1591,0.025722666182873725,499,7
beta,0.8916999999999999,0.03886172066871636,0.4229,0.04588742262925164,489,66
gamma,0.8845000000000001,0.02815532315961268,0.5123,0.03932217355809994,162,19
HP-beta,0.9263999999999999,0.10908019476004288,0.3449,0.0808269069610417,48,5
