Drug,CD,DL_label,z_bin,Coformer,Category,logP,K_binary,K_ternary,K_ratio,ddG_kJmol,calib_valid,model,usable,usable_note
Paracetamol,α-CD,Fuzzy-Weak,1.433,HPMC E5,polymer,polymer,105.2,430.4,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,α-CD,Fuzzy-Weak,1.433,HPMC K15M,polymer,polymer,105.2,430.4,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,α-CD,Fuzzy-Weak,1.433,PVP K30,polymer,polymer,105.2,430.4,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,α-CD,Fuzzy-Weak,1.433,PEG 4000,polymer,polymer,105.2,430.4,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,α-CD,Fuzzy-Weak,1.433,Poloxamer 188,polymer,polymer,105.2,430.4,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,Nicotinamide,hydrotrope,0.18,133.4,607.7,4.56,-3.76,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,Succinic acid,organic acid,-0.064,133.4,596.4,4.47,-3.71,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,L-Proline,amino acid,-0.177,133.4,591.2,4.43,-3.69,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,L-Lysine,amino acid,-0.473,133.4,577.9,4.33,-3.63,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,L-Histidine,amino acid,-0.636,133.4,570.6,4.28,-3.6,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,Glycine,amino acid,-0.97,133.4,556.1,4.17,-3.54,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,Urea,hydrotrope,-0.976,133.4,555.8,4.17,-3.54,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,Caffeine,hydrotrope,-1.029,133.4,553.6,4.15,-3.53,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,L-Arginine,amino acid,-1.338,133.4,540.5,4.05,-3.47,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,L-Glutamine,amino acid,-1.336,133.4,540.6,4.05,-3.47,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,Triethanolamine,amine,-1.735,133.4,524.2,3.93,-3.39,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,Citric acid,organic acid,-1.888,133.4,518.1,3.88,-3.36,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,Tartaric acid,organic acid,-2.123,133.4,508.8,3.81,-3.32,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,Tromethamine,buffer amine,-2.339,133.4,500.3,3.75,-3.28,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,Meglumine,sugar amine,-3.619,133.4,453.3,3.4,-3.03,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,HPMC E5,polymer,polymer,133.4,545.5,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,HPMC K15M,polymer,polymer,133.4,545.5,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,PVP K30,polymer,polymer,133.4,545.5,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,PEG 4000,polymer,polymer,133.4,545.5,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,β-CD,Fuzzy-Weak,1.3169,Poloxamer 188,polymer,polymer,133.4,545.5,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,Nicotinamide,hydrotrope,0.18,199.2,907.6,4.56,-3.76,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,Succinic acid,organic acid,-0.064,199.2,890.7,4.47,-3.71,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,L-Proline,amino acid,-0.177,199.2,882.9,4.43,-3.69,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,L-Lysine,amino acid,-0.473,199.2,863.0,4.33,-3.63,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,L-Histidine,amino acid,-0.636,199.2,852.2,4.28,-3.6,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,Glycine,amino acid,-0.97,199.2,830.5,4.17,-3.54,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,Urea,hydrotrope,-0.976,199.2,830.1,4.17,-3.54,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,Caffeine,hydrotrope,-1.029,199.2,826.7,4.15,-3.53,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,L-Arginine,amino acid,-1.338,199.2,807.3,4.05,-3.47,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,L-Glutamine,amino acid,-1.336,199.2,807.4,4.05,-3.47,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,Triethanolamine,amine,-1.735,199.2,782.9,3.93,-3.39,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,Citric acid,organic acid,-1.888,199.2,773.8,3.88,-3.36,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,Tartaric acid,organic acid,-2.123,199.2,759.9,3.81,-3.32,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,Tromethamine,buffer amine,-2.339,199.2,747.3,3.75,-3.28,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,Meglumine,sugar amine,-3.619,199.2,677.0,3.4,-3.03,True,descriptor,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,HPMC E5,polymer,polymer,199.2,814.7,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,HPMC K15M,polymer,polymer,199.2,814.7,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,PVP K30,polymer,polymer,199.2,814.7,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,PEG 4000,polymer,polymer,199.2,814.7,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,γ-CD,Fuzzy-Weak,1.1204,Poloxamer 188,polymer,polymer,199.2,814.7,4.09,-3.49,True,constant,True,"OK — Fuzzy Zone, ternary estimate valid"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,Nicotinamide,hydrotrope,0.18,40.3,183.6,4.56,-3.76,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,Succinic acid,organic acid,-0.064,40.3,180.2,4.47,-3.71,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,L-Proline,amino acid,-0.177,40.3,178.6,4.43,-3.69,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,L-Lysine,amino acid,-0.473,40.3,174.6,4.33,-3.63,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,L-Histidine,amino acid,-0.636,40.3,172.4,4.28,-3.6,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,Glycine,amino acid,-0.97,40.3,168.0,4.17,-3.54,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,Urea,hydrotrope,-0.976,40.3,167.9,4.17,-3.54,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,Caffeine,hydrotrope,-1.029,40.3,167.3,4.15,-3.53,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,L-Arginine,amino acid,-1.338,40.3,163.3,4.05,-3.47,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,L-Glutamine,amino acid,-1.336,40.3,163.3,4.05,-3.47,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,Triethanolamine,amine,-1.735,40.3,158.4,3.93,-3.39,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,Citric acid,organic acid,-1.888,40.3,156.5,3.88,-3.36,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,Tartaric acid,organic acid,-2.123,40.3,153.7,3.81,-3.32,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,Tromethamine,buffer amine,-2.339,40.3,151.2,3.75,-3.28,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,Meglumine,sugar amine,-3.619,40.3,137.0,3.4,-3.03,True,descriptor,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,HPMC E5,polymer,polymer,40.3,164.8,4.09,-3.49,True,constant,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,HPMC K15M,polymer,polymer,40.3,164.8,4.09,-3.49,True,constant,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,PVP K30,polymer,polymer,40.3,164.8,4.09,-3.49,True,constant,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,PEG 4000,polymer,polymer,40.3,164.8,4.09,-3.49,True,constant,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
Paracetamol,HP-β-CD,Weak (High conf),1.9032,Poloxamer 188,polymer,polymer,40.3,164.8,4.09,-3.49,True,constant,False,"SKIP — Weak (High conf): K<100, drug-CD mismatch, coformer ineffective"
